Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 002/2018;Prefeitura Municipal de Macaé;3º Aditivo;Termo de Fomento;31.504.798/0001-32;Associação Educacional Terapêutica Sociedade de Ensino e Terapia Macaense - SENTROM;SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA;Inexigibilidade; 001/2018; 26538/2021;Modificação das cláusulas terceira, caput e cláusula quinta, caput e parágrafo quarto com inclusão do inciso III e seguintes, na cláusula décima oitava e apresentação de novo plano de trabalho previamente aprovado.;2021-12-10;12 meses a contar do dia 13 de dezembro de 2021;R$ 500.000,00;R$ 0,00;R$ 500.000,00;
 002/2018;Fundo Municipal de Saúde ? FMS;Instrumento Original;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 403596/2018, 404668/2018 e 405074/2018;"promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste".;2018-12-20;12 meses a contar de 20 de dezembro de 2018;R$ 1.003.790,00;R$ 0,00;R$ 1.003.790,00;
 002/2018;Fundo Municipal de Saúde ? FMS;1º Aditivo;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 403651/2019 e 405181/2019;"promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste".;2019-12-20;12 meses a contar de 20 de dezembro de 2019;R$ 1.003.790,00;R$ 0,00;R$ 1.003.790,00;
 002/2018;Fundo Municipal de Saúde ? FMS;2º Aditivo;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 403913/2020;"promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste".;2020-12-20;12 meses a contar de 20 de dezembro de 2020;R$ 1.003.790,00;R$ 0,00;R$ 1.003.790,00;
 002/2018;Fundo Municipal de Saúde ? FMS;3º Aditivo;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 404268/2021;"promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste".;2021-12-16;12 meses a contar de 20 de dezembro de 2021;R$ 1.003.790,00;R$ 0,00;R$ 1.003.790,00;
 002/2018;Prefeitura Municipal de Macaé;4º Aditivo;Termo de Fomento;31.504.798/0001-32;Associação Educacional Terapêutica Sociedade de Ensino e Terapia Macaense ? SENTROM.;SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA;Não se Aplica; 001/2018; 26.538/2021;Modificação do parágrafo quarto da cláusula quinta do termo de fomento, com a inclusão do inciso I, que visa ampliar o valor da quarta parcela.;2022-11-18;Não se aplica;R$ 31.725,78;R$ 0,00;R$ 31.725,78;
 002/2018;Fundo Municipal de Saúde ? FMS;4º Aditivo;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL DE SAÚDE;Inexigibilidade;; 404788/2022;"promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste".;2022-12-13;12 meses a contar de 20 de dezembro de 2022;R$ 1.003.790,00;R$ 0,00;R$ 1.003.790,00;
 002/2018;Prefeitura Municipal de Macaé;5º Aditivo;Termo de Fomento;31.504.798/0001-32;Associação Educacional Terapêutica Sociedade de Ensino e Terapia Macaense ? SENTROM;SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA;Inexigibilidade; 001/2018; 43090/2022;Modificação das cláusulas terceira, caput e cláusula quinta, caput e parágrafo quarto, com a modificação do inciso I  bem como a manutenção do inciso III e seguintes, na cláusula décima oitava e apresentação de novo plano de trabalho previamente aprovado.;2022-12-12;12 meses a contar de 13 de dezembro de 2022;R$ 650.000,00;R$ 0,00;R$ 650.000,00;
 001/2018;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;29.893.617/0001-65;Câmara Municipal de Macaé;GABINETE DO PREFEITO;Não se Aplica;; proc. adm. 6922/2018;Conjugação de esforços entre as partes envolvidas, para a promoção de ações e atividades que contribuam para o aprimoramento do Processo de Emendas Legislativas da Lei Orçamentária Anual, quando de seu encaminhamento por parte do Poder Executivo e apreciação por parte do Poder Legislativo, conforme definido na Lei Orgânica de Macaé, através da cessão de uso de Software denominado "Sistema de Emendas Parlamentares `a LOA", desenvolvido pelo corpo técnico da Secretaria Municipal Adjunta de Planejamento.;2018-09-10;a contar da data de sua assinatura até 31/12/2020;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2018;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.521.870/0001-25;Fundação Departamento de Estradas de Rodagem do Estado do Rio de Janeiro - DERJ;GABINETE DO PREFEITO;Não se Aplica;;;A execução de obras de "Recomposição e recapeamento da Rodovia RJ - 162 no trecho do entrocamento com a RJ - 168 passando por Areia Branca e Bicuda Grande e Pequena, no Município de Macaé totalizando 22,00 KM de extensão.";2018-08-22;360 (trezentos e sessenta dias);R$ 0,00;R$ 0,00;R$ 0,00;
 001/2018;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;22.138.834/0001-09;Associação Administradora do Processo de Redistribuição e Digitalização de Canais de TV e RTV ("EAD");SECRETARIA MUNICIPAL ADJUNTA DE CIÊNCIA E TECNOLOGIA;Não se Aplica;; 28.806/2018;A conjugação de esforços das instituições signatárias, na intenção de promover ações coordenadas de informação, sensibilização e preparo da população de Macaé para o processo de transição ao Sistema Brasileiro e Televisão Digital (SBTVD), estabelecendo e disciplinando a responsabilidade de cada partícipe.;2018-09-27;06 (seis) meses a contar da data de sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2018;Fundo Municipal de Saúde ? FMS;Instrumento Original;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista de Macaé;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 31288/2018 e 402190/2018;"ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste".;2018-09-19;12 meses a contar de 20 de setembro de 2018;R$ 1.230.000,00;R$ 0,00;R$ 1.230.000,00;
 001/2018;Fundo Municipal de Saúde ? FMS;1º Aditivo;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista de Macaé;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 22267/2019, 403577/2019 e 403583/2019;"ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste".;2019-09-20;12 meses a contar de 20 de setembro de 2019;R$ 1.230.000,00;R$ 0,00;R$ 1.230.000,00;
 001/2018;Fundo Municipal de Saúde ? FMS;2º Aditivo;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista de Macaé;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 402639/2020;"ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste".;2020-09-18;12 meses a contar de 18 de setembro de 2020;R$ 1.230.000,00;R$ 0,00;R$ 1.230.000,00;
 001/2018;Fundo Municipal de Saúde ? FMS;3º Aditivo;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista de Macaé;SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE;Inexigibilidade;; 402780/2021;"ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste".;2021-09-16;12 meses a contar de 18 de setembro de 2021;R$ 1.230.000,00;R$ 0,00;R$ 1.230.000,00;
 001/2018;Fundo Municipal de Saúde ? FMS;4º Aditivo;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista de Macaé;SECRETARIA MUNICIPAL DE SAÚDE;Inexigibilidade;; 402938/2022;"ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste".;2022-09-15;12 meses a contar de 18 de setembro de 2022;R$ 1.230.000,00;R$ 0,00;R$ 1.230.000,00;
 009/2017 (Presidente Kennedy);Prefeitura Municipal de Macaé;Instrumento Original;Convênio;27.165.703/0001-26;Município de Presidente Kennedy;GABINETE DO PREFEITO;Não se Aplica;; 39768/2016 e 293/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição de outro partícipe.;2017-08-08;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2017 (Presidente Kennedy);Prefeitura Municipal de Macaé;1º Aditivo;Convênio;27.165.703/0001-26;Município de Presidente Kennedy;GABINETE DO PREFEITO;Não se Aplica;; 20615/2019;Modificação da Cláusula Sétima, Subitem 7.1.;2019-08-01;2 (dois) anos a contar da data de 08/08/2019.;R$ 0,00;R$ 0,00;R$ 0,00;
 2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL DE SAÚDE;Inexigibilidade; 006/2017; 1170/2017;Promover aos idosos estadia, alimentação, vestuário, atendimentos ambulatoriais e, em caso de morte, se necessário, modesto funeral, na forma de trabalho previamente aprovado, parte integrante e indissociável deste.;2017-11-17;12 (doze) meses a contar da data de sua assinatura;R$ 687.000,00;R$ 0,00;R$ 687.000,00;
 011/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.228.739/0001-90;Município de Cardoso Moreira;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 40037/2016;O presente termo tem por objetivo a Cessão/Permuta dos servidores indicados e qualificados.;2017-01-19;de 01/01/2017 até 31/12/2018;R$ 0,00;R$ 0,00;R$ 0,00;
 009/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;42.498.725/0005-25;Polícia Civil do Estado do Rio de Janeiro - PCERJ;GABINETE DO PREFEITO;Não se Aplica;; 6.468/2017 e 21.497/2016;A promoção da segurança pública no Município de Macaé e Regiões limítrofes, consubstanciada na construção de imóveis para instalação da Delegacia de Homicídios Norte Fluminense - DHNF e da Projeção da Cidade da Polícia a serem implantadas no Município, bem como o aumento do efetivo de policiais civis para operacionalizar o funcionamento das novas Unidades.;2017-11-30;05 (cinco) anos a contar da data de sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 008/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.645.786/0001-13;Município de São Sebastião do Alto;GABINETE DO PREFEITO;Não se Aplica;; 699/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-11-23;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 008/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;29.115.946/0001-85;Associação Pestalozzi  de Macaé;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 007/2017; 43.733/2016;O estudo, o tratamento, a educação e o ajustamento de crianças e adolescentes, que por seu desenvolvimento mental, aptidões ou caráter excepcionais, necessitam assistência individual em ambiente médico-pedagógico especialmente orientado, não fazendo distinção ou restrições relativas a raça, cor, condição social ou posições políticas ou religiosas tendo a ação caráter filantrópico e baseada no estudo, mais objetivo possível, das necessidades e possibilidades individuais orientadas para o bem estar coletivo e melhoria do padrão sócio econômico, na forma do plano de trabalho aprovado parte integrante e indissociável deste.;2017-12-04;12 (doze) meses a contar da data de sua publicação;R$ 366.999,96;R$ 0,00;R$ 366.999,96;
 008/2017;Prefeitura Municipal de Macaé;1º Aditivo;Termo de Fomento;29.115.946/0001-85;Associação Pestalozzi de Macaé;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 007/2017; 43.429/2018;Modificação das cláusulas terceira, caput  cláusula quinta, caput, parágrafo quarto, na forma de novo plano de trabalho previamente aprovado.;2018-12-06;12 (doze) meses a contar da data de sua publicação;R$ 366.999,96;R$ 0,00;R$ 366.999,96;
 008/2017;Prefeitura Municipal de Macaé;2º Aditivo;Termo de Fomento;29.115.946/0001-85;Associação Pestalozzi de Macaé;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 007/2017; 41267/2019;Modificação das cláusulas terceira, caput  cláusula quinta, caput, parágrafo quarto, na forma de novo plano de trabalho previamente aprovado.;2019-12-06;12 (doze) meses a contar do dia 06 (seis) de dezembro de 2019;R$ 366.999,96;R$ 0,00;R$ 366.999,96;
 007/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;31.505.027/0001-60;Município de Quissamã;GABINETE DO PREFEITO;Não se Aplica;; 2.552/2017 (1.481/2017, 2.888/2017 e 2.887/2017 em apenso);A cessão de servidores efetivos, colocando-os, quando conveniente e / ou necessário a disposição do outro partícipe.;2017-11-08;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 007/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;31.504.798/0001-32;Associação Educacional Terapêutica Sociedade de Ensino e Terapia Macaense - SENTROM;SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA;Dispensa; 002/2017; 24555/2017;Atendimento educacional e médico-terapêutico à crianças, adolescentes. jovens e adultos com condições de deficiência física, mental e neurológica e o desenvolvimento de atividades educacionais culturais e artísticas, com atendimento nas áreas de assistência pedagógica, fisioterápica, fonoaudiológica, psicomotora, psicológica, médica e afins.;2017-11-30;06 (seis) meses a contar da data de assinatura;R$ 100.000,00;R$ 0,00;R$ 100.000,00;
 006/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.111.093/0001-03;Município de São Fidélis;GABINETE DO PREFEITO;Não se Aplica;; 784/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-10-23;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 006/2017;Prefeitura Municipal de Macaé;1º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria - NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 006/2017; 29.315/2018;A modificação das cláusulas terceira, caput  cláusula quinta, caput, parágrafo quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2018-10-17;12 (doze) meses a contar da data de sua publicação;R$ 216.997,32;R$ 0,00;R$ 216.997,32;
 006/2017;Prefeitura Municipal de Macaé;2º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria - NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 006/2017; 33082/2019;A modificação das cláusulas terceira, caput  cláusula quinta, caput, parágrafo quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2019-09-25;12 (doze) meses a contar dia 17 (dezessete) de outubro de 2019.;R$ 216.982,02;R$ 0,00;R$ 216.982,02;
 006/2017;Prefeitura Municipal de Macaé;3º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria - NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 003/2017; 18053/2020;A modificação das cláusulas terceira, caput  cláusula quinta, caput, parágrafo quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2020-10-16;12 (doze) meses a contar do dia 17 (dezessete) de outubro de 2020;R$ 216.527,52;R$ 0,00;R$ 216.527,52;
 006/2017;Prefeitura Municipal de Macaé;4º Aditivo;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores de Alegria;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Chamamento Público; 003/2017; 22517/2021;Modificação das cláusulas terceira, caput e cláusula quinta, caput e parágrafo quarto e inclusão do inciso III e seguintes, na cláusula décima oitava, com apresentação de novo plano de trabalho previamente aprovado;2021-10-15;12 (doze) meses a contar do dia 17 (dezessete) de outubro de 2021;R$ 216.968,28;R$ 0,00;R$ 216.968,28;
 006/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores da Alegria;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 003/2017; 43.421/2016;Promover a melhoria na qualidade de vida das pessoas com deficiência, assegurando um espaço de convívio social, bem como estimular as potencialidades e ampliar o universo em diversos segmentos dos assistidos com a finalidade de integrar a pessoa com deficiência à dança, à arte, à cultura, ao esporte, ao social, rompendo as barreiras da discriminação e fazendo das suas atividades instrumentos de descoberta próprio.;2017-10-18;12 (doze) meses a contar da data de sua publicação;R$ 217.000,00;R$ 0,00;R$ 217.000,00;
 005/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;01.609.497/0001-02;Município de Carapebus;GABINETE DO PREFEITO;Não se Aplica;; 265/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-10-10;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 005/2017;Prefeitura Municipal de Macaé;1º Aditivo;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE MACAE - RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 004/2017; 24.453/2018;A modificação das cláusulas terceira, caput, cláusula quinta, caput, parágrafos primeiro e quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2018-09-25;12 (doze) meses a contar da data de sua publicação;R$ 777.000,00;R$ 0,00;R$ 777.000,00;
 005/2017;Prefeitura Municipal de Macaé;2º Aditivo;Termo de Fomento;06.696.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE MACAE - RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 004/2017; 29.428/2019;A modificação das cláusulas terceira, caput, cláusula quinta, caput, parágrafos primeiro e quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2019-09-27;12 (doze) meses a contar do dia 26 (vinte e seis) de setembro de 2019;R$ 905.000,00;R$ 0,00;R$ 905.000,00;
 005/2017;Prefeitura Municipal de Macaé;3º Aditivo;Termo de Fomento;06.696.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE MACAE - RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 004/2017; 14551/2020;A modificação das cláusulas terceira, caput, cláusula quinta, caput, parágrafos primeiro e quarto, na forma do novo plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2020-09-24;12 (doze) meses a contar do dia 26 (vinte e seis) de setembro de 2020;R$ 905.000,00;R$ 0,00;R$ 905.000,00;
 005/2017;Prefeitura Municipal de Macaé;4º Aditivo;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 004/2017; 13.169/2021;Modificação das cláusulas terceira, caput e  cláusula quinta, parágrafo quarto, bem como apresentação de novo plano de trabalho previamente aprovado às páginas 154/170 do processo administrativo nº 13169/2021, parte integrante e indissociável deste;2021-09-21;12 (doze) meses a contar do dia 26 (vinte e seis) de setembro de 2021;R$ 905.000,00;R$ 0,00;R$ 905.000,00;
 005/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 004/2017; 29.560/2017;Atender de forma interdisciplinar as múltiplas demandas de pessoas com deficiência intelectual e múltipla e seus familiares, trabalhando numa perspectiva de inclusão social e participação na vida comunitária, proporcionando condições para que o assistido possa usufruir  dos seus direitos e exercer sua cidadania, disponibilizando condições para pleno desenvolvimento das potencialidades individuais, na forma do plano de trabalho previamente aprovado, parte integrante e indissociável deste.;2017-09-26;12 (doze) meses, a contar da data de sua publicação.;R$ 905.000,00;R$ 0,00;R$ 905.000,00;
 004/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.116.902/0001-70;Município de São João da Barra;GABINETE DO PREFEITO;Não se Aplica;; 1338/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-09-29;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 004/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;30.410.922/0001-38;Augusta Respeitável Benemérita Loja Maçonica Gonçalves Ledo, nº 49;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 005/2017; 16.050/2017;O fornecimento de 1.500 (mil e quinhentas) refeições diárias, pelo valor de R$ 1,00 (um real) cada, sendo concedidas refeições gratuitamente para crianças até 10 anos e pessoas em situação de rua, encaminhadas pelo Centro de Referência Especializado em Situação de Rua - CENTRO POP, e fornecimento de insumos para preparação das refeições servidas no Centro Municipal de Apoio à Criança e à Adolescência (CEMAIA).;2017-09-15;12 (doze) meses a contar da data de sua publicação;R$ 4.794.284,16;R$ 0,00;R$ 4.794.284,16;
 003/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;36.292.639/0001-35;Associação Macaense de Apoio aos Cegos - AMAC;SECRETARIA MUNICIPAL DE SAÚDE;Inexigibilidade; 002/2017; 42.186/2016 E 5973/2017;Atendimento à pessoas com deficiência visual no intuito de promover a integração familiar e inclusão social, oferecendo atendimentos oftalmológicos e atividades de assistência social, bem como oferecimento de cursos de qualificação profissional, na forma do plano de trabalho aprovado, parte integrante e indissociável deste.;2017-09-14;12 (doze) meses a contar da data de publicação;R$ 550.000,00;R$ 0,00;R$ 550.000,00;
 003/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.549.483/0001-05;Município de Niterói;GABINETE DO PREFEITO;Não se Aplica;; 31546/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-09-26;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;29.700.143/0001-98;Liga Beneficente São João Batista;SECRETARIA MUNICIPAL DE SAÚDE;Inexigibilidade; 001/2017; 2323/2017 e 15923/2017;Ações necessárias à moradia, alimentação, assistência médica de rotina dos idosos desenvolvidas nas instalações, assim como exames de laboratório, análises clínicas e de diagnóstico, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste.;2017-08-18;12 (doze) meses a contar da publicação;R$ 1.000.030,00;R$ 0,00;R$ 1.000.030,00;
 002/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.116.894/0001-61;Município de Campos;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 394/2017 , 581/2017, 582/2017;A cessão de servidores efetivos, colocando-os, quando conveniente e/ou necessário a disposição do outro partícipe.;2017-08-17;02 (dois) anos a contar da data de assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2017;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE/MACAÉ - RJ;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Dispensa; 001/2017; 35210/2016;Atendimento de forma interdisciplinar as múltiplas demandas de 140 (cento e quarenta) pessoas com deficiência intelectual e múltipla e seus familiares, trabalhando numa perspectiva de inclusão social e participação na vida comunitária, proporcionando condições para que o assistido possa usufruir dos seus direitos e exercer sua cidadania, disponibilizando condições para pleno desenvolvimento das potencialidades individuais, conforme detalhado no Plano de Trabalho, parte integrante e indissociável deste.;2017-03-10;180 (cento e oitenta dias);R$ 390.000,00;R$ 0,00;R$ 390.000,00;
 001/2017;Prefeitura Municipal de Macaé;Instrumento Original;Acordo de Cooperação;02.985.136/0001-23;Fundação Telefônica;GABINETE DO PREFEITO;Não se Aplica;; 24554/2017;Instituir mútua e ampla cooperação entre os Partícipes com objetivo de promover o desenvolvimento social e, mais diretamente, a melhoria da qualidade da aprendizagem no Município de Macaé - Rio de Janeiro, cujo escopo perpassa (i) a transferência de tecnologias e soluções educacionais e/ou sociais  de empreendedorismo e de inovação  (ii) o desenvolvimento de programas, projetos e atividades ligadas à aprendizagem  (iii) além de ações para intercâmbio de informações, pesquisa e aprimoramento da gestão das políticas públicas, de modo apartidário.;2017-12-19;2 (dois) anos a contar da sua publicação;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2017;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;17.722.935/0001-84;Município de Bicas / MG;SECRETARIA MUNICIPAL ADJUNTA DO GABINETE DO PREFEITO;Não se Aplica;; 20853/2017;A cessão da servidora Fabiane Queiroz de Souza Santos, portadora do CPF número 042.899.667-13, detentora do cargo efetivo de Assistente de Administração e Logística I A, lotada na Secretaria Adjunta de Ensino Superior, matriculada sob o número 43001, pertencente ao quadro de pessoal do município de Macaé-RJ, para prestar serviços no órgão CESSIONÁRIO - Município de Bicas-MG, mediante a disponibilidade do órgão CEDENTE, para ocupar o cargo de Atendente Social.;2017-05-15;vinte e quatro meses a contar de 1º de julho de 2017;R$ 0,00;R$ 0,00;R$ 0,00;
