Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 006/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;26.252.435/0001-17;RCQ Ensaios e Testes Hidrostaticos Ltda.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 630,00;R$ 0,00;R$ 630,00;
 006/2023;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;28.521.870/0001-25;Fundação Departamento Estadual de Estradas e Rodagem do Estado do Rio de Janeiro.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 16.895/2023;Inclusão do parágrafo único na Cláusula Sexta do Convênio, visando prorrogar o prazo inicialmente estabelecido.;2024-12-16;1º de janeiro de 2025 a 31 de maio de 2026;R$ 0,00;R$ 0,00;R$ 0,00;
 006/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.521.870/0001-25;Fundação Departamento Estadual de Estradas e Rodagem do Estado do Rio de Janeiro ? DER/RJ.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 16895/2023;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2023-07-19;até 31 de dezembro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 005/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;08.343.492/0012-82;MRV Engenharia e Participações S.A;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 1.050,00;R$ 0,00;R$ 1.050,00;
 005/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;27.865.021/0001-26;Secretaria de Estado de Ciência, Tecnologia e Inovação do Rio de Janeiro.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 8701/2023;Disciplinamento das rotinas administrativas relacionadas a cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2023-06-29;31 de dezembro de 2024.;R$ 0,00;R$ 0,00;R$ 0,00;
 004/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;48.401.276/0001-08;Boteco Restaurante e Lanchonete Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 840,00;R$ 0,00;R$ 840,00;
 004/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;33.663.683/0001-16;Universidade Federal do Rio de Janeiro ? UFRJ;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Chamamento Público; 005/2022; 54089/2022;Concessão de estágio acadêmico obrigatório não remunerado a alunos regularmente matriculados na instituição CONVENENTE e que frequentem efetivamente os cursos de graduação de Enfermagem, Farmácia, Nutrição e Medicina.;2023-06-29;05 (cinco) anos a contar da data da assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;28.998.979/0001-58;Arco Iris Petro Tintas Material de Construção Ltda;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, TRABALHO E RENDA;Chamamento Público; 008/2023; 42.268/2023;Serviços de coffee break, em contrapartida o município autorizará a publicidade do ato visando à apresentação e divulgação no evento: ?Macaé Empreendedora?, que será realizado na cidade de Macaé, nos dias 27, 28, 29 e 30 de novembro do corrente ano, de acordo com as normas públicas.;2023-11-24;27, 28, 29 e 30 de novembro de 2023;R$ 2.100,00;R$ 0,00;R$ 2.100,00;
 003/2023;Prefeitura Municipal de Macaé;1º Aditivo;Convênio;20.622.890/0001-80;Município de Governador Valadares;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 155/2023;Modificação da cláusula sexta, caput do Convênio, visando prorrogar o prazo inicialmente estabelecido.;2023-12-29;12 (doze) meses, a contar do dia 01 de janeiro de 2024;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2023;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;20.622.890/0001-80;Município de Governador Valadares;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 155/2023;Disciplinamento das rotinas administrativas relacionadas à cessão de servidor pertencente ao Município de Macaé, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2023-05-17;Até 31 de dezembro de 2023.;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2023;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;03.770.339/0001-65;Recanto dos Idosos Sagrado Coração de Jesus;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS E ACESSIBILIDADE;Inexigibilidade; 002/2023; 47.805/2022;Promover assistência social ao idoso carente, sem distinção de ordem ideológica, racial, de sexo, nacionalidade, de crença religiosa ou político-partidária.;2023-12-20;12 (doze) meses a contar da data de sua assinatura.;R$ 1.304.927,00;R$ 0,00;R$ 1.304.927,00;
